Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,Returned refugees,IDPs of concern to UNHCR,Returned IDPss,Stateless persons,Others of concern,Other people in need of international protection,Host Community
2019,Afghanistan,Afghanistan,0,0,0,2553390,0,0,447093,,0
2019,Afghanistan,Egypt,28,36,0,0,0,0,0,,0
2019,Afghanistan,Argentina,12,0,0,0,0,0,0,,0
2019,Afghanistan,Armenia,5,0,0,0,0,0,0,,0
2019,Afghanistan,Australia,11585,1710,0,0,0,0,0,,0
2019,Afghanistan,Austria,37276,10326,0,0,0,0,0,,0
2019,Afghanistan,Azerbaijan,627,94,5,0,0,0,0,,0
2019,Afghanistan,Belgium,5070,1035,0,0,0,0,0,,0
2019,Afghanistan,Belarus,213,13,0,0,0,0,0,,0
2019,Afghanistan,Brazil,132,185,0,0,0,0,0,,0
2019,Afghanistan,Bosnia and Herzegovina,0,134,0,0,0,0,902,,0
2019,Afghanistan,Bulgaria,243,300,0,0,0,0,0,,0
2019,Afghanistan,Canada,2447,620,0,0,0,0,0,,0
2019,Afghanistan,China,21,21,0,0,0,0,0,,0
2019,Afghanistan,Chile,13,13,0,0,0,0,0,,0
2019,Afghanistan,Colombia,9,0,0,0,0,0,0,,0
2019,Afghanistan,Cuba,36,0,0,0,0,0,0,,0
2019,Afghanistan,Cyprus,14,5,0,0,0,0,0,,0
2019,Afghanistan,Czechia,45,14,0,0,0,0,0,,0
2019,Afghanistan,Denmark,2620,79,0,0,0,0,0,,0
2019,Afghanistan,Dominican Rep.,0,9,0,0,0,0,0,,0
2019,Afghanistan,Ecuador,150,5,0,0,0,0,0,,0
2019,Afghanistan,Estonia,9,0,0,0,0,0,0,,0
2019,Afghanistan,Fiji,5,5,0,0,0,0,0,,0
2019,Afghanistan,Finland,3238,1220,0,0,0,0,0,,0
2019,Afghanistan,France,24293,11055,0,0,0,0,0,,0
2019,Afghanistan,United Kingdom of Great Britain and Northern Ireland,9513,2890,0,0,0,0,0,,0
2019,Afghanistan,Georgia,11,18,0,0,0,0,0,,0
2019,Afghanistan,Germany,140366,47343,0,0,0,0,0,,0
2019,Afghanistan,Greece,17685,27608,0,0,0,0,0,,0
2019,Afghanistan,"China, Hong Kong SAR",5,0,0,0,0,0,0,,0
2019,Afghanistan,Croatia,53,108,0,0,0,0,13,,0
2019,Afghanistan,Hungary,1487,92,0,0,0,0,0,,0
2019,Afghanistan,Iceland,86,19,0,0,0,0,0,,0
2019,Afghanistan,India,7470,8219,72,0,0,0,0,,0
2019,Afghanistan,Indonesia,5866,1826,57,0,0,0,0,,0
2019,Afghanistan,Ireland,366,127,0,0,0,0,0,,0
2019,Afghanistan,Iran (Islamic Rep. of),951142,0,1952,0,0,0,0,,0
2019,Afghanistan,Iraq,11,56,0,0,0,0,0,,0
2019,Afghanistan,Italy,17849,840,0,0,0,0,0,,0
2019,Afghanistan,Jordan,8,11,0,0,0,0,0,,0
2019,Afghanistan,Japan,68,0,0,0,0,0,0,,0
2019,Afghanistan,Kazakhstan,491,181,0,0,0,0,0,,0
2019,Afghanistan,Kenya,10,9,5,0,0,0,0,,0
2019,Afghanistan,Kyrgyzstan,227,104,0,0,0,0,0,,0
2019,Afghanistan,Rep. of Korea,41,49,0,0,0,0,0,,0
2019,Afghanistan,Kuwait,0,17,0,0,0,0,0,,0
2019,Afghanistan,Libya,0,11,0,0,0,0,0,,0
2019,Afghanistan,Lebanon,18,6,0,0,0,0,0,,0
2019,Afghanistan,Liechtenstein,5,0,0,0,0,0,0,,0
2019,Afghanistan,Sri Lanka,160,45,0,0,0,0,0,,0
2019,Afghanistan,Lithuania,236,5,0,0,0,0,0,,0
2019,Afghanistan,Luxembourg,97,170,0,0,0,0,0,,0
2019,Afghanistan,Latvia,66,0,0,0,0,0,0,,0
2019,Afghanistan,Madagascar,10,10,0,0,0,0,0,,0
2019,Afghanistan,North Macedonia,5,15,0,0,0,0,0,,0
2019,Afghanistan,Rep. of Moldova,24,0,0,0,0,0,0,,0
2019,Afghanistan,Malaysia,1352,1126,0,0,0,0,0,,0
2019,Afghanistan,Montenegro,0,50,0,0,0,0,0,,0
2019,Afghanistan,Morocco,5,6,0,0,0,0,0,,0
2019,Afghanistan,Malta,0,5,0,0,0,0,0,,0
2019,Afghanistan,Nepal,51,0,0,0,0,0,0,,0
2019,Afghanistan,Netherlands (Kingdom of the),5815,543,0,0,0,0,0,,0
2019,Afghanistan,Nigeria,5,0,0,0,0,0,0,,0
2019,Afghanistan,Norway,5108,81,0,0,0,0,0,,0
2019,Afghanistan,Nauru,25,5,0,0,0,0,0,,0
2019,Afghanistan,New Zealand,46,31,0,0,0,0,0,,0
2019,Afghanistan,Pakistan,1419084,8406,6232,0,0,0,0,,0
2019,Afghanistan,Panama,5,6,0,0,0,0,0,,0
2019,Afghanistan,Philippines,14,6,0,0,0,0,0,,0
2019,Afghanistan,Papua New Guinea,43,5,0,0,0,0,0,,0
2019,Afghanistan,Poland,121,16,0,0,0,0,0,,0
2019,Afghanistan,Portugal,20,5,0,0,0,0,0,,0
2019,Afghanistan,Romania,148,67,0,0,0,0,0,,0
2019,Afghanistan,South Africa,0,24,0,0,0,0,0,,0
2019,Afghanistan,Russian Federation,795,268,5,0,0,0,0,,0
2019,Afghanistan,Senegal,0,5,0,0,0,0,0,,0
2019,Afghanistan,Spain,395,270,0,0,0,0,0,,0
2019,Afghanistan,Serbia and Kosovo: S/RES/1244 (1999),19,10,0,0,0,0,2662,,0
2019,Afghanistan,Sudan,0,0,0,0,0,0,5,,0
2019,Afghanistan,Slovakia,276,0,0,0,0,0,0,,0
2019,Afghanistan,Slovenia,51,23,0,0,0,0,0,,0
2019,Afghanistan,Sweden,30546,3015,0,0,0,0,0,,0
2019,Afghanistan,Switzerland,13455,1152,0,0,0,0,0,,0
2019,Afghanistan,Syrian Arab Rep.,1110,32,0,0,0,0,0,,0
2019,Afghanistan,Thailand,134,18,0,0,0,0,0,,0
2019,Afghanistan,Tajikistan,3783,1413,76,0,0,0,0,,0
2019,Afghanistan,Turkmenistan,14,0,0,0,0,0,0,,0
2019,Afghanistan,Türkiye,1192,116403,0,0,0,0,0,,0
2019,Afghanistan,United Arab Emirates,5,25,0,0,0,0,0,,0
2019,Afghanistan,Ukraine,820,641,0,0,0,0,0,,0
2019,Afghanistan,Uruguay,0,5,0,0,0,0,0,,0
2019,Afghanistan,United States of America,1629,727,0,0,0,0,0,,0
2019,Afghanistan,Uzbekistan,13,0,0,0,0,0,0,,0
2019,Afghanistan,Venezuela (Bolivarian Republic of),10,0,0,0,0,0,0,,0
2019,Albania,Argentina,18,0,0,0,0,0,0,,0
2019,Albania,Australia,46,89,0,0,0,0,0,,0
2019,Albania,Austria,72,45,0,0,0,0,0,,0
2019,Albania,Belgium,712,208,0,0,0,0,0,,0
2019,Albania,Brazil,0,6,0,0,0,0,0,,0
2019,Albania,Canada,783,289,0,0,0,0,0,,0
2019,Albania,Cyprus,0,5,0,0,0,0,0,,0
2019,Albania,Denmark,0,5,0,0,0,0,0,,0
2019,Albania,Ecuador,6,0,0,0,0,0,0,,0
2019,Albania,Estonia,0,5,0,0,0,0,0,,0
2019,Albania,Finland,5,20,0,0,0,0,0,,0
2019,Albania,France,5829,3096,0,0,0,0,0,,0
2019,Albania,United Kingdom of Great Britain and Northern Ireland,3182,6787,0,0,0,0,0,,0
2019,Albania,Germany,1278,2375,0,0,0,0,0,,0
2019,Albania,Greece,165,2092,0,0,0,0,0,,0
2019,Albania,Iceland,5,16,0,0,0,0,0,,0
2019,Albania,Ireland,145,783,0,0,0,0,0,,0
2019,Albania,Italy,809,589,0,0,0,0,0,,0
2019,Albania,Luxembourg,70,15,0,0,0,0,0,,0
2019,Albania,Mexico,8,0,0,0,0,0,0,,0
2019,Albania,Netherlands (Kingdom of the),5,12,0,0,0,0,0,,0
2019,Albania,Norway,20,26,0,0,0,0,0,,0
2019,Albania,Portugal,0,5,0,0,0,0,0,,0
2019,Albania,Spain,0,185,0,0,0,0,0,,0
